Frequency (Hz)	Level (dB)
16020.703125	-96.299232
16063.769531	-96.611160
16106.835938	-97.715698
16149.902344	-95.864403
16192.968750	-95.582924
16236.035156	-96.171692
16279.101562	-97.525200
16322.167969	-97.577400
16365.234375	-96.909531
16408.300781	-96.598808
16451.367188	-95.490295
16494.433594	-95.907242
16537.500000	-96.559967
16580.566406	-98.153175
16623.632812	-97.641319
16666.699219	-98.570038
16709.765625	-99.407806
16752.832031	-98.953911
16795.898438	-98.376648
16838.964844	-98.808495
16882.031250	-99.691437
16925.097656	-99.555031
16968.164062	-99.078613
17011.230469	-103.552895
17054.296875	-116.882782
17097.363281	-123.250290
17140.429688	-123.241821
17183.496094	-123.242592
17226.562500	-123.500282
17269.628906	-123.097527
17312.695312	-122.596199
17355.761719	-122.938301
17398.828125	-123.382126
17441.894531	-123.186462
17484.960938	-122.837463
17528.027344	-123.396446
17571.093750	-123.218987
17614.160156	-123.601868
17657.226562	-122.895386
17700.292969	-124.148331
17743.359375	-123.906273
17786.425781	-122.610756
17829.492188	-122.479813
17872.558594	-124.337296
17915.625000	-124.148460
17958.691406	-123.926247
18001.757812	-124.354019
18044.824219	-124.267586
18087.890625	-123.646599
18130.957031	-123.936729
18174.023438	-123.657890
18217.089844	-122.735512
18260.156250	-123.730324
18303.222656	-123.695152
18346.289062	-123.127731
18389.355469	-123.188850
18432.421875	-123.228180
18475.488281	-122.988708
18518.554688	-122.814911
18561.621094	-123.569038
18604.687500	-122.838432
18647.753906	-123.410294
18690.820312	-123.509819
18733.886719	-122.998970
18776.953125	-123.259254
18820.019531	-122.722664
18863.085938	-122.641876
18906.152344	-123.558044
18949.218750	-124.014252
18992.285156	-123.667793
19035.351562	-123.137413
19078.417969	-123.105598
19121.484375	-123.525528
19164.550781	-124.103035
19207.617188	-123.530334
19250.683594	-124.163971
19293.750000	-124.433289
19336.816406	-124.015663
19379.882812	-123.369919
19422.949219	-122.867966
19466.015625	-123.713593
19509.082031	-123.261574
19552.148438	-123.038109
19595.214844	-123.084831
19638.281250	-122.853043
19681.347656	-123.298134
19724.414062	-123.836632
19767.480469	-124.033432
19810.546875	-124.203079
19853.613281	-124.413071
19896.679688	-123.419067
19939.746094	-123.661377
19982.812500	-123.529823
20025.878906	-123.311501
20068.945312	-122.819450
20112.011719	-122.793137
20155.078125	-123.162628
20198.144531	-123.321419
20241.210938	-123.599579
20284.277344	-123.392845
20327.343750	-123.330879
20370.410156	-123.027550
20413.476562	-122.386139
20456.542969	-123.016113
20499.609375	-123.439178
20542.675781	-123.528076
20585.742188	-123.663986
20628.808594	-123.719124
20671.875000	-122.758911
20714.941406	-123.161949
20758.007812	-123.387665
20801.074219	-123.191521
20844.140625	-123.603981
20887.207031	-123.536079
20930.273438	-123.206985
20973.339844	-123.304558
21016.406250	-123.230392
21059.472656	-122.933670
21102.539062	-123.688049
21145.605469	-123.707603
21188.671875	-123.348083
21231.738281	-123.151474
21274.804688	-123.772148
21317.871094	-123.443672
21360.937500	-122.783089
21404.003906	-122.521179
21447.070312	-122.936096
21490.136719	-122.711967
21533.203125	-123.333473
21576.269531	-124.251175
21619.335938	-123.592590
21662.402344	-123.848053
21705.468750	-124.169266
21748.535156	-123.703293
21791.601562	-123.446396
21834.667969	-124.047478
21877.734375	-123.634712
21920.800781	-122.913918
21963.867188	-123.672958
22006.933594	-123.288681
